code,url,type,details
fati,https://vr-outcome-prod.herokuapp.com/join/fatibagu,POSTVR2,"VR session 2, 24 May 2023"
vefu,https://vr-outcome-prod.herokuapp.com/join/vefuhame,POSTVR2,"VR session 2, 24 May 2023"
bohu,https://vr-outcome-prod.herokuapp.com/join/bohuneni,LAST,"Final Questionnaire, 28 May 2023"
fete,https://vr-outcome-prod.herokuapp.com/join/fetebake,LAST,"Final Questionnaire, 28 May 2023"
meha,https://vr-outcome-evaluation.herokuapp.com/join/mehaneki,PRE,"First Questionnaire, 11 June 2023 - Test Session"
lupu,https://vr-outcome-evaluation.herokuapp.com/join/lupulale,LAST,"Final Questionnaire, 11 June 2023 - Test Session"
kove,https://vr-outcome-prod.herokuapp.com/join/kovesube,PRE,"First Questionnaire, 14 June 2023"
sile,https://vr-outcome-prod.herokuapp.com/join/silefuzo,PRE,"First Questionnaire, 14 June 2023"
jujo,https://vr-outcome-prod.herokuapp.com/join/jujopita,POSTVR1,"VR session 1, 14 June 2023"
fodo,https://vr-outcome-prod.herokuapp.com/join/fodobami,POSTVR1,"VR session 1, 14 June 2023"
holo,https://vr-outcome-prod.herokuapp.com/join/holosaja,PRE,"First Questionnaire, 15 June 2023"
hohe,https://vr-outcome-prod.herokuapp.com/join/hohekulo,PRE,"First Questionnaire, 15 June 2023"
zozi,https://vr-outcome-prod.herokuapp.com/join/zozimozu,PRE,"First Questionnaire, 15 June 2023"
pire,https://vr-outcome-prod.herokuapp.com/join/pirehaze,POSTVR2,"VR session 2, 19 June 2023"
zoho,https://vr-outcome-prod.herokuapp.com/join/zohonute,POSTVR2,"VR session 2, 19 June 2023"
piri,https://vr-outcome-prod.herokuapp.com/join/pirijalu,LAST,"Final Questionnaire, 22 June 2023"
zege,https://vr-outcome-prod.herokuapp.com/join/zegekuzu,LAST,"Final Questionnaire, 22 June 2023"
laja,https://vr-outcome-prod.herokuapp.com/join/lajaheve,LAST,"Final Questionnaire, 22 June 2023"
soji,https://vr-outcome-prod.herokuapp.com/join/sojizifu,LAST,"Final Questionnaire, 26 June 2023"
siti,https://vr-outcome-prod.herokuapp.com/join/sitihuki,LAST,"Final Questionnaire, 26 June 2023"
tasu,https://vr-outcome-prod.herokuapp.com/join/tasugeba,LAST,"Final Questionnaire, 26 June 2023"
nobi,https://vr-outcome-prod.herokuapp.com/join/nobisaku,PRE,"First Questionnaire, 09 July 2023"
pamo,https://vr-outcome-prod.herokuapp.com/join/pamoruvi,PRE,"First Questionnaire, 09 July 2023"
viki,https://vr-outcome-prod.herokuapp.com/join/vikiloso,POSTVR1,"VR session 1, 09 July 2023"
geni,https://vr-outcome-prod.herokuapp.com/join/genidasa,POSTVR1,"VR session 1, 09 July 2023"
